DATE,Housing Inventory (US)
2004-01-01,122632
2004-04-01,123099
2004-07-01,123587
2004-10-01,124096
2005-01-01,124611
2005-04-01,125118
2005-07-01,125619
2005-10-01,126104
2006-01-01,126584
2006-04-01,127072
2006-07-01,127548
2006-10-01,127991
2007-01-01,128439
2007-04-01,128888
2007-07-01,129300
2007-10-01,129634
2008-01-01,129968
2008-04-01,130303
2008-07-01,130590
2008-10-01,130797
2009-01-01,131001
2009-04-01,131207
2009-07-01,131375
2009-10-01,131490
2010-01-01,131626
2010-04-01,131749
2010-07-01,131874
2010-10-01,131995
2011-01-01,132117
2011-04-01,132239
2011-07-01,132362
2011-10-01,132491
2012-01-01,132619
2012-04-01,132748
2012-07-01,132890
2012-10-01,133062
2013-01-01,133234
2013-04-01,133408
2013-07-01,133593
2013-10-01,133799
2014-01-01,134005
2014-04-01,134212
2014-07-01,134423
2014-10-01,134642
2015-01-01,134862
2015-04-01,135081
2015-07-01,135309
2015-10-01,135552
2016-01-01,135795
2016-04-01,136039
2016-07-01,136289
2016-10-01,136554
2017-01-01,136818
2017-04-01,137083
2017-07-01,137354
2017-10-01,137637
2018-01-01,137920
2018-04-01,138203
2018-07-01,138488
2018-10-01,138778
2019-01-01,139069
2019-04-01,139360
2019-07-01,139655
2019-10-01,139961
2020-01-01,140266
2020-04-01,140602.0
2020-07-01,140921.0
2020-10-01,141260.0
2021-01-01,141599.0
2021-04-01,141938.0
2021-07-01,142299.0
2021-10-01,142706.0
2022-01-01,143112.0
2022-04-01,143519.0
2022-07-01,143919.0
2022-10-01,144308.0
2023-01-01,144697.0
2023-04-01,145085.0
2023-07-01,145474.0
2023-10-01,145863.0
2024-01-01,146252.0
2024-04-01,146640.0
2024-07-01,147029.0